name,link,quote
{'Annabeth Chase'},{'https://rickriordan.com/character/annabeth-chase/'},"{'I am never, ever, going to make things easy for you, Seaweed Brain. Get used to it.'}"
{'Aphrodite'},{'https://rickriordan.com/character/aphrodite/'},{'No quote found'}
{'Ares'},{'https://rickriordan.com/character/ares/'},{'No quote found'}
{'Athena'},{'https://rickriordan.com/character/athena-2/'},{'No quote found'}
{'Bianca di Angelo'},{'https://rickriordan.com/character/bianca-di-angelo/'},{'No quote found'}
{'Calypso'},{'https://rickriordan.com/character/calypso/'},{'No quote found'}
{'Charles Beckendorf'},{'https://rickriordan.com/character/charles-beckendorf/'},{'No quote found'}
{'Clarisse La Rue'},{'https://rickriordan.com/character/clarisse-la-rue/'},{'No quote found'}
{'Ethan Nakamura'},{'https://rickriordan.com/character/ethan-nakamura/'},{'No quote found'}
{'Chiron'},{'https://rickriordan.com/character/chiron/'},{'No quote found'}
{'Grover Underwood'},{'https://rickriordan.com/character/grover-underwood/'},"{""Percy, the gods really don't appreciate people sitting in their thrones. I mean like turn-you-into-a-pile-of-ashes don't appreciate it.""}"
{'Juniper'},{'https://rickriordan.com/character/juniper/'},{'No quote found'}
{'Luke Castellan'},{'https://rickriordan.com/character/luke-castellan/'},{'No quote found'}
{'Nico di Angelo'},{'https://rickriordan.com/character/nico/'},{'With great power comes great need to take a nap. Wake me up later.'}
{'Percy Jackson'},{'https://rickriordan.com/character/percy-jackson/'},{'The best people have the rottenest luck.'}
{'Poseidon'},{'https://rickriordan.com/character/poseidon-2/'},{'No quote found'}
{'Hera'},{'https://rickriordan.com/character/hera/'},{'No quote found'}
{'Rachel Elizabeth Dare'},{'https://rickriordan.com/character/rachel-elizabeth-dare/'},{'No quote found'}
{'Thalia Grace'},{'https://rickriordan.com/character/thalia-grace/'},{'No quote found'}
{'Selena Beauregard'},{'https://rickriordan.com/character/selena-beauregard/'},{'No quote found'}
{'Hephaestus'},{'https://rickriordan.com/character/hephaestus/'},{'No quote found'}
{'Zoë Nightshade'},{'https://rickriordan.com/character/zoe-nightshade/'},{'No quote found'}
{'Demeter'},{'https://rickriordan.com/character/demeter/'},{'No quote found'}
{'Tyson'},{'https://rickriordan.com/character/tyson/'},{'No quote found'}
{'Will Solace'},{'https://rickriordan.com/character/will-solace/'},{'No quote found'}
{'Travis and Connor Stoll'},{'https://rickriordan.com/character/travis-and-connor-stoll/'},{'No quote found'}
{'Aphrodite'},{'https://rickriordan.com/character/aphrodite/'},{'No quote found'}
{'Arachne'},{'https://rickriordan.com/character/arachne/'},{'No quote found'}
{'Athena'},{'https://rickriordan.com/character/athena-2/'},{'No quote found'}
{'Calypso'},{'https://rickriordan.com/character/calypso/'},{'No quote found'}
{'Clarisse La Rue'},{'https://rickriordan.com/character/clarisse-la-rue/'},{'No quote found'}
{'Coach Gleeson Hedge'},{'https://rickriordan.com/character/glesson-hedge-coach-hedge/'},"{'What about a compromise? I’ll kill them first, and if it turns out they were friendly, I’ll apologize.'}"
{'Lityerses'},{'https://rickriordan.com/character/lityerses/'},{'No quote found'}
{'Chiron'},{'https://rickriordan.com/character/chiron/'},{'No quote found'}
{'Frank Zhang'},{'https://rickriordan.com/character/frank-zhang/'},"{'If I’m going to burn, it might as well be bright.'}"
{'Hazel Levesque'},{'https://rickriordan.com/character/hazel-levesque/'},{'I’m not choosing one of your paths. I’m making my own.'}
{'Jason Grace'},{'https://rickriordan.com/character/jason-grace/'},{'Sorry we’re late. Is this the guy who needs killing?'}
{'Leo Valdez'},{'https://rickriordan.com/character/leo-valdez/'},{'I try not to think. It interferes with being nuts.'}
{'Octavian'},{'https://rickriordan.com/character/octavian/'},{'No quote found'}
{'Percy Jackson'},{'https://rickriordan.com/character/percy-jackson/'},{'The best people have the rottenest luck.'}
{'Hephaestus'},{'https://rickriordan.com/character/hephaestus/'},{'No quote found'}
{'Hera'},{'https://rickriordan.com/character/hera/'},{'No quote found'}
{'Piper McLean'},{'https://rickriordan.com/character/piper-mclean/'},{'Being a hero doesn’t mean you’re invincible. It just means that you’re brave enough to stand up and do what’s needed.'}
{'Nico di Angelo'},{'https://rickriordan.com/character/nico/'},{'With great power comes great need to take a nap. Wake me up later.'}
{'Reyna Avila Ramírez-Arellano'},{'https://rickriordan.com/character/reyna-avila-ramirez-arellano/'},{'No quote found'}
{'Thalia Grace'},{'https://rickriordan.com/character/thalia-grace/'},{'No quote found'}
{'Rachel Elizabeth Dare'},{'https://rickriordan.com/character/rachel-elizabeth-dare/'},{'No quote found'}
{'Will Solace'},{'https://rickriordan.com/character/will-solace/'},{'No quote found'}
{'Travis and Connor Stoll'},{'https://rickriordan.com/character/travis-and-connor-stoll/'},{'No quote found'}
{'Anubis'},{'https://rickriordan.com/character/anubis/'},{'No quote found'}
{'Bast'},{'https://rickriordan.com/character/bast/'},{'No quote found'}
{'Bes'},{'https://rickriordan.com/character/bes/'},{'No quote found'}
{'Carter Kane'},{'https://rickriordan.com/character/carter-kane/'},{'No quote found'}
{'Horus'},{'https://rickriordan.com/character/horus/'},{'No quote found'}
{'Isis'},{'https://rickriordan.com/character/isis/'},{'No quote found'}
{'Khufu'},{'https://rickriordan.com/character/khufu/'},{'No quote found'}
{'Ra'},{'https://rickriordan.com/character/ra/'},{'No quote found'}
{'Sadie Kane'},{'https://rickriordan.com/character/sadie-kane/'},{'No quote found'}
{'Setne'},{'https://rickriordan.com/character/setne/'},{'No quote found'}
{'Set'},{'https://rickriordan.com/character/set/'},{'No quote found'}
{'Tawaret'},{'https://rickriordan.com/character/tawaret/'},{'No quote found'}
{'Thoth'},{'https://rickriordan.com/character/thoth/'},{'No quote found'}
{'Walt Stone'},{'https://rickriordan.com/character/walt-stone/'},{'No quote found'}
{'Zia Rashid'},{'https://rickriordan.com/character/zia-rashid/'},{'No quote found'}
{'Blitzen'},{'https://rickriordan.com/character/blitzen/'},{'I hate the word demigod. I prefer born with a target on my back.'}
{'Hearthstone'},{'https://rickriordan.com/character/hearthstone/'},{'No quote found'}
{'Loki'},{'https://rickriordan.com/character/loki/'},{'No quote found'}
{'Magnus Chase'},{'https://rickriordan.com/character/magnus-chase/'},"{'Wrongly chosen, wrongly slain, A hero Valhalla cannot contain.'}"
{'Alex Fierro'},{'https://rickriordan.com/character/alex-fierro/'},{'No quote found'}
{'Natalie Chase'},{'https://rickriordan.com/character/natalie-chase/'},{'No quote found'}
{'Samirah Al Abbas'},{'https://rickriordan.com/character/samirah-al-abbas/'},{'No quote found'}
{'Mallory Keen'},{'https://rickriordan.com/character/mallory-keen/'},{'No quote found'}
{'Frey'},{'https://rickriordan.com/character/frey/'},{'No quote found'}
"{'TJ (Thomas Jefferson, Jr.)'}",{'https://rickriordan.com/character/tj-thomas-jefferson-jr/'},{'No quote found'}
{'Sword of Summer'},{'https://rickriordan.com/character/sword-of-summer/'},{'No quote found'}
{'Halfborn Gunderson'},{'https://rickriordan.com/character/halfborn-gunderson/'},{'No quote found'}
{'Gunilla'},{'https://rickriordan.com/character/gunilla/'},{'No quote found'}
{'Thor'},{'https://rickriordan.com/character/thor/'},{'No quote found'}
{'Lester Papadopoulos'},{'https://rickriordan.com/character/lester-papadopoulos/'},{'No quote found'}
{'Apollo'},{'https://rickriordan.com/character/apollo/'},{'No quote found'}
{'Agamethus'},{'https://rickriordan.com/character/agamethus/'},{'No quote found'}
{'Aloe Vera'},{'https://rickriordan.com/character/aloe-vera/'},{'No quote found'}
{'Meg McCaffrey'},{'https://rickriordan.com/character/meg-mccaffrey/'},{'No quote found'}
{'Commodus'},{'https://rickriordan.com/character/commodus/'},{'No quote found'}
{'Peaches'},{'https://rickriordan.com/character/peaches/'},{'No quote found'}
{'Britomartis'},{'https://rickriordan.com/character/britomartis/'},{'No quote found'}
{'Paolo'},{'https://rickriordan.com/character/paolo/'},{'No quote found'}
{'Georgina'},{'https://rickriordan.com/character/georgina/'},{'No quote found'}
{'Jo'},{'https://rickriordan.com/character/jo/'},{'No quote found'}
{'Emmie'},{'https://rickriordan.com/character/emmie/'},{'No quote found'}
{'Daphne'},{'https://rickriordan.com/character/daphne/'},{'No quote found'}
{'Hyacinthus'},{'https://rickriordan.com/character/hyacinthus/'},{'No quote found'}
{'Nero'},{'https://rickriordan.com/character/nero/'},{'No quote found'}
{'Lityerses'},{'https://rickriordan.com/character/lityerses/'},{'No quote found'}
{'The Germani'},{'https://rickriordan.com/character/the-germani/'},{'No quote found'}
{'Chiron'},{'https://rickriordan.com/character/chiron/'},{'No quote found'}
{'Prickly Pear'},{'https://rickriordan.com/character/prickly-pear/'},{'No quote found'}
{'Rhea'},{'https://rickriordan.com/character/rhea/'},{'No quote found'}
{'Mellie'},{'https://rickriordan.com/character/mellie/'},{'No quote found'}
{'Piper McLean'},{'https://rickriordan.com/character/piper-mclean/'},{'Being a hero doesn’t mean you’re invincible. It just means that you’re brave enough to stand up and do what’s needed.'}
{'Will Solace'},{'https://rickriordan.com/character/will-solace/'},{'No quote found'}
{'Travis and Connor Stoll'},{'https://rickriordan.com/character/travis-and-connor-stoll/'},{'No quote found'}
{'Thalia Grace'},{'https://rickriordan.com/character/thalia-grace/'},{'No quote found'}
{'Kayla Knowles'},{'https://rickriordan.com/character/kayla-knowles/'},{'No quote found'}
{'Rachel Elizabeth Dare'},{'https://rickriordan.com/character/rachel-elizabeth-dare/'},{'No quote found'}
